BARRIO;LATITUD;LONGITUD
ASIS;5.075.047.129.022.620;7.551.610.015.460.840
ASIS;5.075.736.631.922.570;7.551.582.632.761.380
ASIS;5.075.756.094.261.090;7.551.600.281.786.440
ASIS;5.075.258.281.352.550;7.551.613.857.035.430
ASIS;5.075.040.613.130.670;7.551.609.605.447.730
ASIS;50.760.534.882.389.200;755.150.652.924.884
EL TACHUELO;5.077.672.015.136.780;7.551.354.488.711.760
EL TACHUELO;5.077.777.654.402.550;7.551.390.659.201.380
CAMINO DEL MEDIO;5.077.758.292.872.770;7.551.387.379.139.740
CAMINO DEL MEDIO;5.077.376.071.368.390;7.551.342.652.774.960
SAN IGNACION;50.762.846.761.363.000;7.551.338.862.976.820
ASIS;5.075.885.618.131.080,00;7.551.616.239.596.900
;;
;;
